[2024-01-16 17:43:26.3854][Info] 25库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
[2024-01-16 17:43:44.0831][Info] 22库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
[2024-01-16 17:43:49.9645][Info] 21库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
[2024-01-16 17:44:02.6913][Info] 26库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
[2024-01-16 17:44:26.6957][Info] 25库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
[2024-01-16 17:44:44.1244][Info] 22库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
[2024-01-16 17:44:50.1007][Info] 21库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
[2024-01-16 17:45:02.7922][Info] 26库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
[2024-01-16 17:45:26.8154][Info] 25库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
[2024-01-16 17:45:44.2439][Info] 22库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
[2024-01-16 17:45:50.3390][Info] 21库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
[2024-01-16 17:46:02.9347][Info] 26库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
[2024-01-16 17:46:27.3443][Info] 25库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
[2024-01-16 17:46:44.4127][Info] 22库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
[2024-01-16 17:46:50.5720][Info] 21库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
[2024-01-16 17:47:03.2180][Info] 26库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
[2024-01-16 17:47:27.6095][Info] 25库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
[2024-01-16 17:47:44.6641][Info] 22库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
[2024-01-16 17:47:50.5953][Info] 21库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
[2024-01-16 17:48:00.5220][Info] 17库，二代行车终端通讯异常,异常时间：0001/1/1 0:00:00 
