[2023-03-02 19:16:59.7040][Info] 道闸Parking.W25.PB, 发出请求4 
[2023-03-02 19:17:00.3982][Info] 道闸Parking.W25.PB, 返回结果True 
[2023-03-02 19:19:03.2791][Info] 道闸Parking.W25.PB, 发出请求5 
[2023-03-02 19:19:03.3299][Info] 道闸Parking.W25.PB, 返回结果True 
[2023-03-02 19:20:57.5080][Info] 道闸Parking.W25.PB, 发出请求4 
[2023-03-02 19:20:57.8907][Info] 道闸Parking.W25.PB, 返回结果True 
[2023-03-02 19:22:13.3239][Info] 道闸Parking.W25.PB, 发出请求5 
[2023-03-02 19:22:13.3587][Info] 道闸Parking.W25.PB, 返回结果True 
[2023-03-02 19:25:02.6430][Info] 道闸Parking.W25.PB, 发出请求4 
[2023-03-02 19:25:02.6711][Info] 道闸Parking.W25.PB, 返回结果True 
[2023-03-02 19:26:03.1841][Info] 道闸Parking.W25.PB, 发出请求5 
[2023-03-02 19:26:03.2302][Info] 道闸Parking.W25.PB, 返回结果True 
[2023-03-02 19:27:17.4374][Info] 道闸Parking.W25.PB, 发出请求4 
[2023-03-02 19:27:17.5650][Info] 道闸Parking.W25.PB, 返回结果True 
[2023-03-02 19:28:20.6984][Info] 道闸Parking.W25.PB, 发出请求5 
[2023-03-02 19:28:20.7177][Info] 道闸Parking.W25.PB, 返回结果True 
[2023-03-02 19:29:34.1903][Info] 道闸Parking.W25.PB, 发出请求4 
[2023-03-02 19:29:34.2271][Info] 道闸Parking.W25.PB, 返回结果True 
[2023-03-02 19:30:35.9330][Info] 道闸Parking.W25.PB, 发出请求5 
[2023-03-02 19:30:35.9724][Info] 道闸Parking.W25.PB, 返回结果True 
[2023-03-02 19:31:55.0476][Info] 道闸Parking.W25.PB, 发出请求4 
[2023-03-02 19:31:55.1067][Info] 道闸Parking.W25.PB, 返回结果True 
[2023-03-02 19:33:00.2877][Info] 道闸Parking.W25.PB, 发出请求5 
[2023-03-02 19:33:02.2888][Info] 道闸Parking.W25.PB, 返回结果True 
[2023-03-02 19:34:18.0727][Info] 道闸Parking.W25.PB, 发出请求4 
[2023-03-02 19:34:18.1158][Info] 道闸Parking.W25.PB, 返回结果True 
[2023-03-02 19:39:02.2913][Info] 道闸Parking.W25.PB, 发出请求5 
[2023-03-02 19:39:02.3235][Info] 道闸Parking.W25.PB, 返回结果True 
[2023-03-02 19:40:26.4011][Info] 道闸Parking.W25.PB, 发出请求4 
[2023-03-02 19:40:26.4333][Info] 道闸Parking.W25.PB, 返回结果True 
[2023-03-02 19:43:51.0202][Info] 道闸Parking.W25.PB, 发出请求5 
[2023-03-02 19:43:51.0563][Info] 道闸Parking.W25.PB, 返回结果True 
[2023-03-02 19:45:50.7297][Info] 道闸Parking.W25.PB, 发出请求4 
[2023-03-02 19:45:50.7977][Info] 道闸Parking.W25.PB, 返回结果True 
[2023-03-02 19:47:02.6926][Info] 道闸Parking.W25.PB, 发出请求5 
[2023-03-02 19:47:02.7254][Info] 道闸Parking.W25.PB, 返回结果True 
[2023-03-02 19:48:24.1127][Info] 道闸Parking.W25.PB, 发出请求4 
[2023-03-02 19:48:24.1423][Info] 道闸Parking.W25.PB, 返回结果True 
